Mes,Petróleo_2001,Gas_2001,Petróleo_2002,Gas_2002,Petróleo_2003,Gas_2003,Petróleo_2004,Gas_2004,Petróleo_2005,Gas_2005,Petróleo_2006,Gas_2006,Petróleo_2007,Gas_2007,Petróleo_2008,Gas_2008,Petróleo_2009,Gas_2009,Petróleo_2010,Gas_2010,Petróleo_2011,Gas_2011,Petróleo_2012,Gas_2012,Petróleo_2013,Gas_2013,Petróleo_2014,Gas_2014,Petróleo_2015,Gas_2015,Petróleo_2016,Gas_2016,Petróleo_2017,Gas_2017,Petróleo_2018,Gas_2018,Petróleo_2019,Gas_2019,Petróleo_2020,Gas_2020,Petróleo_2021,Gas_2021,Petróleo_2022,Gas_2022,Petróleo_2023,Gas_2023,Petróleo_2024,Gas_2024
Total Anual,1.612.371,4.532.237,1.412.610,4.599.044,1.233.335,4.746.829,1.195.697,4.877.118,1.066.585,4.739.732,991.511,4.226.496,905.05,3.895.721,1.015.938,3.840.136,995.074,3.754.732,902.256,3.582.726,776.983,3.343.939,772.384,3.231.183,712.349,3.250.803,697.173,3.170.408,624.89,2.803.077,381.349,3.962.200,402.511,4.368.004,531.483,4.160.617,526.432,3.735.411,327.093,3.450.369,364.199,3.252.679,303.4,2.933.174,238.011,2.708.192,33.84,361.381
Enero,147.657,360.215,126.466,348.822,110.145,364.812,111.043,410.654,96.774,400.376,74.076,354.145,77.692,342.856,80.542,293.950,81.78,290.091,77.013,289.089,68.188,257.471,61.956,239.020,63.947,260.105,62.178,283.877,59.16,264.357,34.171,236.027,34.016,375.711,40.995,380.528,51.586,343.302,36.343,286.099,34.208,292.706,28.102,257.739,20.247,248.579,17.196,142.982
Febrero,137.408,317.979,110.145,313.936,96.616,314.729,95.538,351.005,83.415,357.977,66.5,293.299,64.021,255.901,75.617,251.940,78.934,274.270,71.359,260.068,60.834,256.271,60.66,242.718,55.766,246.801,56.99,253.660,49.814,234.473,26.401,225.971,24.028,257.548,37.064,316.885,39.53,309.361,29.632,282.018,30.646,262.409,24.263,226.245,18.674,222.148,16.644,218.399
Marzo,149.970,397.136,123.593,372.444,106.579,339.305,99.892,398.759,92.407,392.472,83.572,354.884,80.155,346.181,83.901,296.966,84.575,306.377,76.687,272.491,60.179,248.986,67.568,283.614,59.036,259.158,62.639,280.856,51.436,259.138,31.961,317.448,31.675,377.202,40.703,333.367,45.706,329.435,29.634,306.720,34.278,269.332,23.543,198.236,22.209,244.587,18.937,229.506
Abril,138.935,375.205,120.166,389.454,99.596,344.029,96.761,395.693,88.356,393.403,90.82,357.807,79.403,366.004,79.193,304.197,81.839,315.373,74.33,305.131,66.271,278.461,63.793,275.927,56.086,253.283,51.473,239.204,50.68,218.920,32.347,311.469,29.363,369.794,42.387,354.971,47.38,292.318,17.185,295.139,32.722,275.932,26.443,246.632,20.948,227.376,17.791,208.934
Mayo,139.288,418.780,125.393,444.106,110.936,450.032,113.651,429.374,97.513,445.193,87.721,387.022,80.693,374.392,83.749,366.831,84.291,326.736,83.588,349.163,68.471,301.050,69.912,288.960,59.02,275.517,61.474,275.087,56.537,253.988,31.255,335.172,33.543,363.186,44.173,361.029,49.856,323.445,17.775,308.674,33.399,282.842,30.165,252.861,20.108,238.224,,
Junio,135.179,417.991,119.781,429.789,104.528,464.462,99.189,415.480,95.560,429.105,87.17,388.663,72.382,327.837,84.651,362.406,87.018,333.615,72.858,295.010,67.351,298.556,64.508,279.199,59.643,279.223,58.61,265.514,53.139,244.484,30.687,337.820,32.626,378.536,43.453,357.487,48.782,319.058,19.708,302.794,30.463,262.284,28.765,248.052,18.483,235.124,,
Julio,137.424,451.537,122.002,434.192,103.944,439.658,100.002,431.454,94.428,423.888,89.555,386.039,77.052,353.849,86.940,370.240,87.346,336.998,80.047,324.678,66.682,311.121,66.3,280.971,60.842,285.868,59.501,276.832,52.968,235.667,33.32,353.152,31.832,393.919,45.859,372.329,49.284,336.756,21.571,304.877,30.866,275.787,29.003,257.183,18.728,238.382,,
Agosto,134.031,423.154,123.602,448.671,107.149,477.824,99.119,440.667,92.852,404.775,88.988,395.829,74.859,315.214,88.859,366.719,83.288,346.619,77.326,319.578,64.992,296.622,63.677,259.353,60.353,288.200,58.793,265.535,53.61,237.627,33.744,366.533,35.753,389.174,46.207,375.484,49.019,316.711,20.88,304.838,29.514,276.527,25.988,258.159,19.804,234.994,,
Septiembre,127.510,396.920,117.827,412.960,102.593,439.141,96.112,417.714,82.538,373.152,79.471,329.909,72.955,297.221,86.765,330.558,82.134,307.020,74.408,300.141,63.896,289.293,60.361,254.871,57.689,280.825,55.409,251.780,50.147,207.559,34.971,407.062,34.856,364.669,50.206,350.695,42.799,320.194,31.274,293.015,27.425,266.087,22.932,247.057,20.854,226.386,,
Octubre,126.503,370.452,113.311,360.641,103.423,430.533,99.798,409.827,83.347,394.811,82.056,338.925,71.816,299.368,85.793,309.685,85.269,313.241,72.31,297.722,67.496,285.837,65.005,280.175,58.801,273.340,55.414,259.491,52.715,234.398,34.609,384.714,38.488,381.061,52.939,360.003,36.663,298.523,35.957,301.343,27.94,262.498,21.24,253.917,21.559,220.422,,
Noviembre,113.728,260.198,105.030,332.818,89.014,303.472,92.698,388.220,80.221,368.054,81.189,328.364,71.23,314.903,89.399,296.603,79.277,305.475,69.933,288.750,62.562,255.922,61.777,259.749,58.402,271.733,55.993,254.623,49.979,221.164,27.308,315.215,37.359,341.331,42.121,275.178,30.379,253.613,33.192,284.274,25.895,258.565,22.357,242.375,19.022,211.388,,
Diciembre,124.738,342.670,105.292,311.212,98.812,378.832,91.893,388.271,79.174,356.526,80.394,311.611,82.791,301.994,90.529,290.042,79.324,298.916,72.398,280.905,60.06,264.348,66.868,286.626,62.764,276.749,58.699,263.949,44.705,191.301,30.578,371.615,38.973,375.873,45.375,322.661,35.447,292.694,33.94,287.284,26.843,267.718,20.599,244.718,17.375,160.582,,
